user_id,movie_id,rating,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,num_ratings,avg_rating,release_year,user_num_ratings,user_avg_rating,user_genre_affinity
1,1,4.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,3.9209302325581397,1995.0,232,4.366379310344827,4.440098057662191
1,3,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,3.2596153846153846,1995.0,232,4.366379310344827,4.292400370713624
1,6,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,102,3.946078431372549,1995.0,232,4.366379310344827,4.274410774410774
1,47,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,203,3.9753694581280787,1995.0,232,4.366379310344827,4.156060606060606
1,50,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,204,4.237745098039215,1995.0,232,4.366379310344827,4.222558922558922
1,70,3.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55,3.5090909090909093,1996.0,232,4.366379310344827,4.053843359176456
1,101,5.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,3.782608695652174,1996.0,232,4.366379310344827,4.332147897775112
1,110,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,237,4.031645569620253,1995.0,232,4.366379310344827,4.450544662309368
1,151,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,44,3.5454545454545454,1995.0,232,4.366379310344827,4.4148315736551025
1,157,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2.8636363636363638,1995.0,232,4.366379310344827,4.38855421686747
1,163,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,66,3.5606060606060606,1995.0,232,4.366379310344827,4.305209605209605
1,216,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3.326530612244898,1995.0,232,4.366379310344827,4.27710843373494
1,223,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3.855769230769231,1994.0,232,4.366379310344827,4.27710843373494
1,231,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,3.0601503759398496,1994.0,232,4.366379310344827,4.3326718639262936
1,235,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,3.6785714285714284,1994.0,232,4.366379310344827,4.403260099220411
1,260,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,251,4.231075697211155,1977.0,232,4.366379310344827,4.31181917211329
1,296,3.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,307,4.197068403908795,1994.0,232,4.366379310344827,4.326882574862731
1,316,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140,3.375,1994.0,232,4.366379310344827,4.31181917211329
1,333,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3.78,1995.0,232,4.366379310344827,4.27710843373494
1,349,4.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,110,3.6045454545454545,1994.0,232,4.366379310344827,4.3381610219845514
1,356,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,329,4.164133738601824,1994.0,232,4.366379310344827,4.403553126533282
1,362,5.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,3.5294117647058822,1994.0,232,4.366379310344827,4.414515549809668
1,367,4.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,157,3.1847133757961785,1994.0,232,4.366379310344827,4.313189637984562
1,423,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2.85,1994.0,232,4.366379310344827,4.233838383838384
1,441,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3.9285714285714284,1993.0,232,4.366379310344827,4.27710843373494
1,457,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,190,3.9921052631578946,1993.0,232,4.366379310344827,4.1454545454545455
1,480,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,238,3.75,1993.0,232,4.366379310344827,4.270228015448604
1,500,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144,3.388888888888889,1993.0,232,4.366379310344827,4.403260099220411
1,527,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,220,4.225,1993.0,232,4.366379310344827,4.514705882352941
1,543,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,41,3.317073170731707,1993.0,232,4.366379310344827,4.243418428960598
1,552,4.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61,3.262295081967213,1993.0,232,4.366379310344827,4.323814564441779
1,553,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,65,3.8153846153846156,1993.0,232,4.366379310344827,4.379116090880796
1,590,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,164,3.8353658536585367,1990.0,232,4.366379310344827,4.401120448179271
1,592,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,189,3.4285714285714284,1989.0,232,4.366379310344827,4.274410774410774
1,593,4.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,279,4.161290322580645,1991.0,232,4.366379310344827,3.9905327787680727
1,596,5.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,60,3.45,1940.0,232,4.366379310344827,4.554241185569138
1,608,5.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,181,4.116022099447513,1996.0,232,4.366379310344827,4.326882574862731
1,648,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,162,3.537037037037037,1996.0,232,4.366379310344827,4.25564468211527
1,661,5.0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,49,3.4489795918367347,1996.0,232,4.366379310344827,4.52104000727884
1,673,3.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,53,2.707547169811321,1996.0,232,4.366379310344827,4.404248381385159
1,733,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121,3.6404958677685952,1996.0,232,4.366379310344827,4.285304020598137
1,736,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,123,3.321138211382114,1996.0,232,4.366379310344827,4.29090109237168
1,780,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,202,3.4455445544554455,1996.0,232,4.366379310344827,4.270228015448604
1,804,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3.25,1996.0,232,4.366379310344827,4.292400370713624
1,919,5.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,92,3.880434782608696,1939.0,232,4.366379310344827,4.478886215995102
1,923,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,69,4.043478260869565,1941.0,232,4.366379310344827,4.348039215686274
1,940,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,4.0,1938.0,232,4.366379310344827,4.339383274677392
1,943,4.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,7,3.9285714285714284,1947.0,232,4.366379310344827,4.378325470941241
1,954,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,4.083333333333333,1939.0,232,4.366379310344827,4.529411764705882
1,1009,3.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,3.0555555555555554,1975.0,232,4.366379310344827,4.411242227387409
1,1023,5.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,3.6153846153846154,1968.0,232,4.366379310344827,4.639697467283674
1,1024,5.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3.6666666666666665,1945.0,232,4.366379310344827,4.639697467283674
1,1025,5.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,25,3.58,1963.0,232,4.366379310344827,4.554241185569138
