movie_id,num_ratings,avg_rating,release_year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,215,3.9209302325581397,1995.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,52,3.2596153846153846,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,102,3.946078431372549,1995.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
47,203,3.9753694581280787,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,204,4.237745098039215,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
70,55,3.5090909090909093,1996.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101,23,3.782608695652174,1996.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
110,237,4.031645569620253,1995.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
151,44,3.5454545454545454,1995.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
157,11,2.8636363636363638,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,66,3.5606060606060606,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
216,49,3.326530612244898,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,104,3.855769230769231,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,133,3.0601503759398496,1994.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,70,3.6785714285714284,1994.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,251,4.231075697211155,1977.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
296,307,4.197068403908795,1994.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
316,140,3.375,1994.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
333,50,3.78,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,110,3.6045454545454545,1994.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
356,329,4.164133738601824,1994.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
362,34,3.5294117647058822,1994.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
367,157,3.1847133757961785,1994.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
423,10,2.85,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
441,42,3.9285714285714284,1993.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,190,3.9921052631578946,1993.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
480,238,3.75,1993.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
500,144,3.388888888888889,1993.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
527,220,4.225,1993.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
543,41,3.317073170731707,1993.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
552,61,3.262295081967213,1993.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
553,65,3.8153846153846156,1993.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
